KT_USC,WOJEWÓDZTWO,POWIAT,GMINA,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MAJA,KOBIETA,16
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,JULIA,KOBIETA,9
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ZOFIA,KOBIETA,7
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ZUZANNA,KOBIETA,6
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,AURELIA,KOBIETA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,EMILIA,KOBIETA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,LILIANA,KOBIETA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MARIA,KOBIETA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,OLIWIA,KOBIETA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ROZALIA,KOBIETA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ANNA,KOBIETA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,HANNA,KOBIETA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MATYLDA,KOBIETA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MIA,KOBIETA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MICHALINA,KOBIETA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,POLA,KOBIETA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,AMELIA,KOBIETA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ANTONINA,KOBIETA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,CELINA,KOBIETA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,JAGODA,KOBIETA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,LAURA,KOBIETA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,LENA,KOBIETA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,WIKTORIA,KOBIETA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ALEKSANDRA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ALICJA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ANASTAZJA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ANIELA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,BLANKA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,IGA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,KAJA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,KLARA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,KORNELIA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,LILA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MILENA,KOBIETA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,LEON,MĘŻCZYZNA,13
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,FRANCISZEK,MĘŻCZYZNA,12
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,NIKODEM,MĘŻCZYZNA,10
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ANTONI,MĘŻCZYZNA,8
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,IGNACY,MĘŻCZYZNA,8
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,FILIP,MĘŻCZYZNA,6
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,JAN,MĘŻCZYZNA,6
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,KACPER,MĘŻCZYZNA,6
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ALEKSANDER,MĘŻCZYZNA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MICHAŁ,MĘŻCZYZNA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MILAN,MĘŻCZYZNA,5
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,JAKUB,MĘŻCZYZNA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MAKSYMILIAN,MĘŻCZYZNA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MIŁOSZ,MĘŻCZYZNA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,OLIWIER,MĘŻCZYZNA,4
